* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 8192-point spectrum using Hann window and 32 averages 
* Dated: 23-jun-2021 12:56:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 8192-point spectrum using Hann window and 32 averages Input RMS 113,6 dB, 112,2 dBC, 113,9 dBA
* Measurement: jun 23 12:56:12
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 10.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2484.375 76.812 0
2490.234 77.237 0
2496.094 76.262 0
2501.953 76.790 0
2507.812 77.860 0
2513.672 78.576 0
2519.531 77.885 0
2525.391 76.541 0
2531.250 76.340 0
2537.109 75.612 0
2542.969 77.954 0
2548.828 77.708 0
2554.688 76.183 0
2560.547 76.031 0
2566.406 76.578 0
2572.266 76.890 0
2578.125 75.890 0
2583.984 77.095 0
2589.844 77.934 0
2595.703 77.427 0
2601.562 78.487 0
2607.422 78.350 0
2613.281 77.364 0
2619.141 77.564 0
2625.000 77.022 0
2630.859 77.128 0
2636.719 77.702 0
2642.578 77.120 0
2648.438 76.531 0
2654.297 77.430 0
2660.156 78.794 0
2666.016 78.154 0
2671.875 77.174 0
2677.734 77.705 0
2683.594 77.676 0
2689.453 77.925 0
2695.312 78.166 0
2701.172 77.266 0
2707.031 76.877 0
2712.891 76.784 0
2718.750 75.941 0
2724.609 76.203 0
2730.469 76.434 0
2736.328 76.029 0
2742.188 77.069 0
2748.047 78.506 0
2753.906 78.030 0
2759.766 77.456 0
2765.625 77.595 0
2771.484 77.656 0
2777.344 77.583 0
2783.203 76.652 0
2789.062 77.129 0
2794.922 75.136 0
2800.781 75.885 0
2806.641 76.062 0
2812.500 76.286 0
2818.359 77.683 0
2824.219 77.150 0
2830.078 78.155 0
2835.938 76.528 0
2841.797 75.834 0
2847.656 76.651 0
2853.516 76.840 0
2859.375 76.889 0
2865.234 76.556 0
2871.094 75.546 0
2876.953 76.731 0
2882.812 77.546 0
2888.672 76.292 0
2894.531 77.083 0
2900.391 77.274 0
2906.250 76.826 0
2912.109 75.504 0
2917.969 76.696 0
2923.828 77.345 0
2929.688 76.961 0
2935.547 75.734 0
2941.406 75.527 0
2947.266 77.256 0
2953.125 77.386 0
2958.984 78.273 0
2964.844 78.931 0
2970.703 78.980 0
2976.562 77.946 0
2982.422 77.523 0
2988.281 77.208 0
2994.141 76.358 0
3000.000 76.958 0
3005.859 77.355 0
3011.719 76.546 0
3017.578 76.499 0
3023.438 77.178 0
3029.297 77.879 0
3035.156 78.113 0
3041.016 78.834 0
3046.875 79.735 0
3052.734 78.823 0
3058.594 78.298 0
3064.453 79.124 0
3070.312 78.909 0
3076.172 78.202 0
3082.031 78.967 0
3087.891 79.204 0
3093.750 78.054 0
3099.609 77.857 0
3105.469 78.904 0
3111.328 78.222 0
3117.188 78.001 0
3123.047 78.002 0
3128.906 78.511 0
3134.766 79.489 0
3140.625 79.776 0
3146.484 79.231 0
3152.344 79.475 0
3158.203 80.415 0
3164.062 79.993 0
3169.922 79.587 0
3175.781 79.168 0
3181.641 80.223 0
3187.500 81.624 0
3193.359 81.234 0
3199.219 80.450 0
3205.078 80.729 0
3210.938 79.861 0
3216.797 79.974 0
3222.656 80.538 0
3228.516 80.842 0
3234.375 80.922 0
3240.234 80.428 0
3246.094 81.704 0
3251.953 81.580 0
3257.812 82.151 0
3263.672 81.844 0
3269.531 81.280 0
3275.391 81.453 0
3281.250 81.340 0
3287.109 81.073 0
3292.969 80.495 0
3298.828 80.804 0
3304.688 80.828 0
3310.547 81.147 0
3316.406 80.739 0
3322.266 82.356 0
3328.125 83.266 0
3333.984 83.068 0
3339.844 81.751 0
3345.703 80.981 0
3351.562 82.445 0
3357.422 81.945 0
3363.281 82.310 0
3369.141 82.848 0
3375.000 82.175 0
3380.859 83.496 0
3386.719 83.506 0
3392.578 82.788 0
3398.438 84.590 0
3404.297 83.667 0
3410.156 83.178 0
3416.016 84.053 0
3421.875 83.764 0
3427.734 82.776 0
3433.594 84.053 0
3439.453 83.184 0
3445.312 83.908 0
3451.172 82.467 0
3457.031 82.632 0
3462.891 83.321 0
3468.750 84.148 0
3474.609 83.000 0
3480.469 83.008 0
3486.328 84.261 0
3492.188 85.345 0
3498.047 84.689 0
3503.906 85.444 0
3509.766 83.801 0
3515.625 83.631 0
3521.484 83.884 0
3527.344 85.492 0
3533.203 85.527 0
3539.062 84.402 0
3544.922 84.659 0
3550.781 85.321 0
3556.641 84.223 0
3562.500 83.338 0
3568.359 85.726 0
3574.219 85.673 0
3580.078 85.710 0
3585.938 85.122 0
3591.797 85.755 0
3597.656 86.461 0
3603.516 85.428 0
3609.375 85.340 0
3615.234 84.684 0
3621.094 85.240 0
3626.953 84.812 0
3632.812 84.121 0
3638.672 85.919 0
3644.531 85.581 0
3650.391 85.912 0
3656.250 85.476 0
3662.109 84.478 0
3667.969 86.027 0
3673.828 85.827 0
3679.688 85.941 0
3685.547 85.282 0
3691.406 85.390 0
3697.266 85.305 0
3703.125 84.066 0
3708.984 85.298 0
3714.844 85.315 0
3720.703 85.243 0
3726.562 87.197 0
3732.422 85.615 0
3738.281 85.464 0
3744.141 85.926 0
3750.000 87.131 0
3755.859 86.763 0
3761.719 86.076 0
3767.578 86.244 0
3773.438 87.407 0
3779.297 88.446 0
3785.156 87.108 0
3791.016 86.495 0
3796.875 87.621 0
3802.734 88.788 0
3808.594 88.016 0
3814.453 88.998 0
3820.312 88.480 0
3826.172 88.450 0
3832.031 86.577 0
3837.891 86.950 0
3843.750 87.772 0
3849.609 87.741 0
3855.469 87.610 0
3861.328 87.171 0
3867.188 86.692 0
3873.047 86.955 0
3878.906 87.295 0
3884.766 86.673 0
3890.625 85.216 0
3896.484 85.233 0
3902.344 86.156 0
3908.203 87.736 0
3914.062 86.906 0
3919.922 86.393 0
3925.781 86.847 0
3931.641 87.107 0
3937.500 86.588 0
3943.359 87.848 0
3949.219 89.154 0
3955.078 88.511 0
3960.938 86.644 0
3966.797 88.060 0
3972.656 88.285 0
3978.516 87.572 0
3984.375 87.494 0
3990.234 87.576 0
3996.094 87.016 0
4001.953 87.259 0
4007.812 86.311 0
4013.672 87.217 0
4019.531 87.723 0
4025.391 86.931 0
4031.250 87.620 0
4037.109 87.519 0
4042.969 87.831 0
4048.828 87.160 0
4054.688 87.895 0
4060.547 87.880 0
4066.406 86.574 0
4072.266 86.918 0
4078.125 86.610 0
4083.984 87.168 0
4089.844 87.039 0
4095.703 86.796 0
4101.562 87.974 0
4107.422 86.546 0
4113.281 85.286 0
4119.141 86.279 0
4125.000 87.805 0
4130.859 87.102 0
4136.719 87.064 0
4142.578 85.846 0
4148.438 85.921 0
4154.297 86.403 0
4160.156 85.388 0
4166.016 86.763 0
4171.875 85.942 0
4177.734 83.427 0
4183.594 84.432 0
4189.453 85.767 0
4195.312 85.239 0
4201.172 83.943 0
4207.031 84.618 0
4212.891 85.193 0
4218.750 84.551 0
4224.609 86.058 0
4230.469 86.318 0
4236.328 85.288 0
4242.188 84.997 0
4248.047 86.146 0
4253.906 86.323 0
4259.766 85.260 0
4265.625 85.844 0
4271.484 85.665 0
4277.344 86.731 0
4283.203 86.958 0
4289.062 86.009 0
4294.922 85.541 0
4300.781 86.593 0
4306.641 86.936 0
4312.500 85.845 0
4318.359 85.409 0
4324.219 87.054 0
4330.078 88.128 0
4335.938 86.816 0
