* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 8192-point spectrum using Hann window and no averaging 
* Dated: 16-jun-2021 13:04:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 8192-point spectrum using Hann window and no averaging Input RMS 107,4 dB, 105,9 dBC, 107,5 dBA
* Measurement: jun 16 13:04:44
* Smoothing: 1/48 octave
* Frequency Step: 5.859375 Hz
* Start Frequency: 10.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2976.562 70.699 0
2982.422 70.787 0
2988.281 70.761 0
2994.141 70.664 0
3000.000 70.543 0
3005.859 70.447 0
3011.719 70.412 0
3017.578 70.452 0
3023.438 70.554 0
3029.297 70.681 0
3035.156 70.788 0
3041.016 70.835 0
3046.875 70.800 0
3052.734 70.687 0
3058.594 70.524 0
3064.453 70.360 0
3070.312 70.249 0
3076.172 70.237 0
3082.031 70.337 0
3087.891 70.532 0
3093.750 70.784 0
3099.609 71.057 0
3105.469 71.321 0
3111.328 71.558 0
3117.188 71.754 0
3123.047 71.897 0
3128.906 71.980 0
3134.766 72.000 0
3140.625 71.965 0
3146.484 71.893 0
3152.344 71.805 0
3158.203 71.723 0
3164.062 71.656 0
3169.922 71.603 0
3175.781 71.554 0
3181.641 71.504 0
3187.500 71.451 0
3193.359 71.401 0
3199.219 71.361 0
3205.078 71.338 0
3210.938 71.340 0
3216.797 71.378 0
3222.656 71.470 0
3228.516 71.634 0
3234.375 71.886 0
3240.234 72.225 0
3246.094 72.636 0
3251.953 73.094 0
3257.812 73.568 0
3263.672 74.035 0
3269.531 74.475 0
3275.391 74.874 0
3281.250 75.223 0
3287.109 75.516 0
3292.969 75.749 0
3298.828 75.921 0
3304.688 76.038 0
3310.547 76.106 0
3316.406 76.135 0
3322.266 76.135 0
3328.125 76.112 0
3333.984 76.070 0
3339.844 76.007 0
3345.703 75.919 0
3351.562 75.798 0
3357.422 75.633 0
3363.281 75.415 0
3369.141 75.140 0
3375.000 74.810 0
3380.859 74.442 0
3386.719 74.064 0
3392.578 73.714 0
3398.438 73.434 0
3404.297 73.250 0
3410.156 73.169 0
3416.016 73.173 0
3421.875 73.237 0
3427.734 73.343 0
3433.594 73.494 0
3439.453 73.710 0
3445.312 74.017 0
3451.172 74.429 0
3457.031 74.932 0
3462.891 75.486 0
3468.750 76.041 0
3474.609 76.549 0
3480.469 76.976 0
3486.328 77.306 0
3492.188 77.537 0
3498.047 77.682 0
3503.906 77.758 0
3509.766 77.790 0
3515.625 77.797 0
3521.484 77.795 0
3527.344 77.790 0
3533.203 77.783 0
3539.062 77.769 0
3544.922 77.739 0
3550.781 77.689 0
3556.641 77.614 0
3562.500 77.512 0
3568.359 77.386 0
3574.219 77.242 0
3580.078 77.091 0
3585.938 76.954 0
3591.797 76.856 0
3597.656 76.824 0
3603.516 76.877 0
3609.375 77.018 0
3615.234 77.229 0
3621.094 77.476 0
3626.953 77.722 0
3632.812 77.931 0
3638.672 78.077 0
3644.531 78.142 0
3650.391 78.119 0
3656.250 78.008 0
3662.109 77.822 0
3667.969 77.587 0
3673.828 77.340 0
3679.688 77.131 0
3685.547 77.017 0
3691.406 77.043 0
3697.266 77.229 0
3703.125 77.563 0
3708.984 78.006 0
3714.844 78.509 0
3720.703 79.030 0
3726.562 79.540 0
3732.422 80.024 0
3738.281 80.474 0
3744.141 80.890 0
3750.000 81.271 0
3755.859 81.617 0
3761.719 81.924 0
3767.578 82.187 0
3773.438 82.397 0
3779.297 82.548 0
3785.156 82.634 0
3791.016 82.654 0
3796.875 82.608 0
3802.734 82.505 0
3808.594 82.356 0
3814.453 82.176 0
3820.312 81.983 0
3826.172 81.796 0
3832.031 81.633 0
3837.891 81.504 0
3843.750 81.414 0
3849.609 81.362 0
3855.469 81.335 0
3861.328 81.324 0
3867.188 81.314 0
3873.047 81.298 0
3878.906 81.268 0
3884.766 81.222 0
3890.625 81.154 0
3896.484 81.062 0
3902.344 80.940 0
3908.203 80.789 0
3914.062 80.609 0
3919.922 80.407 0
3925.781 80.192 0
3931.641 79.980 0
3937.500 79.783 0
3943.359 79.617 0
3949.219 79.491 0
3955.078 79.407 0
3960.938 79.364 0
3966.797 79.353 0
3972.656 79.364 0
3978.516 79.389 0
3984.375 79.421 0
3990.234 79.459 0
3996.094 79.506 0
4001.953 79.568 0
4007.812 79.652 0
4013.672 79.762 0
4019.531 79.902 0
4025.391 80.068 0
4031.250 80.254 0
4037.109 80.451 0
4042.969 80.652 0
4048.828 80.849 0
4054.688 81.040 0
4060.547 81.226 0
4066.406 81.405 0
4072.266 81.578 0
4078.125 81.741 0
4083.984 81.887 0
4089.844 82.009 0
4095.703 82.099 0
4101.562 82.150 0
4107.422 82.158 0
4113.281 82.121 0
4119.141 82.037 0
4125.000 81.910 0
4130.859 81.743 0
4136.719 81.540 0
4142.578 81.310 0
4148.438 81.064 0
4154.297 80.817 0
4160.156 80.583 0
4166.016 80.375 0
4171.875 80.202 0
4177.734 80.067 0
4183.594 79.967 0
4189.453 79.892 0
4195.312 79.833 0
4201.172 79.782 0
4207.031 79.732 0
4212.891 79.680 0
4218.750 79.625 0
4224.609 79.565 0
4230.469 79.500 0
4236.328 79.428 0
4242.188 79.350 0
4248.047 79.266 0
4253.906 79.183 0
4259.766 79.112 0
4265.625 79.068 0
4271.484 79.072 0
4277.344 79.140 0
4283.203 79.283 0
4289.062 79.500 0
4294.922 79.781 0
4300.781 80.105 0
4306.641 80.447 0
4312.500 80.783 0
4318.359 81.091 0
4324.219 81.354 0
4330.078 81.563 0
4335.938 81.711 0
4341.797 81.800 0
4347.656 81.834 0
4353.516 81.823 0
4359.375 81.778 0
4365.234 81.709 0
4371.094 81.630 0
4376.953 81.553 0
4382.812 81.490 0
4388.672 81.454 0
4394.531 81.455 0
4400.391 81.502 0
4406.250 81.599 0
4412.109 81.745 0
4417.969 81.934 0
4423.828 82.155 0
4429.688 82.394 0
4435.547 82.637 0
4441.406 82.873 0
4447.266 83.092 0
4453.125 83.291 0
4458.984 83.471 0
4464.844 83.636 0
4470.703 83.793 0
4476.562 83.950 0
4482.422 84.117 0
4488.281 84.298 0
4494.141 84.493 0
4500.000 84.699 0
4505.859 84.908 0
4511.719 85.109 0
4517.578 85.291 0
4523.438 85.445 0
4529.297 85.565 0
4535.156 85.649 0
4541.016 85.701 0
4546.875 85.728 0
4552.734 85.738 0
4558.594 85.744 0
4564.453 85.752 0
4570.312 85.768 0
4576.172 85.792 0
4582.031 85.823 0
4587.891 85.852 0
4593.750 85.875 0
4599.609 85.883 0
4605.469 85.871 0
4611.328 85.831 0
4617.188 85.761 0
4623.047 85.656 0
4628.906 85.515 0
4634.766 85.334 0
4640.625 85.112 0
4646.484 84.850 0
4652.344 84.547 0
4658.203 84.205 0
4664.062 83.827 0
4669.922 83.418 0
4675.781 82.988 0
4681.641 82.549 0
4687.500 82.118 0
4693.359 81.714 0
4699.219 81.362 0
4705.078 81.083 0
4710.938 80.894 0
4716.797 80.805 0
4722.656 80.815 0
4728.516 80.910 0
4734.375 81.072 0
4740.234 81.280 0
4746.094 81.509 0
4751.953 81.741 0
4757.812 81.960 0
4763.672 82.153 0
4769.531 82.312 0
4775.391 82.432 0
4781.250 82.508 0
4787.109 82.541 0
4792.969 82.532 0
4798.828 82.485 0
4804.688 82.407 0
4810.547 82.306 0
4816.406 82.193 0
4822.266 82.080 0
4828.125 81.978 0
4833.984 81.898 0
4839.844 81.847 0
4845.703 81.831 0
